scf_total_energy_au,homo_energy_eV,lumo_energy_eV,homo_lumo_gap_eV,homo_minus1_energy_eV,lumo_plus1_energy_eV,dipole_x_debye,dipole_y_debye,dipole_z_debye,dipole_magnitude_debye,polarizability_iso_au,polarizability_aniso_au,max_mulliken_charge,min_mulliken_charge,sum_mulliken_charges,mol_mass_amu,num_atoms,num_electrons,spin_multiplicity,charge,scf_iterations,molecule
,,,,,,,,,,,,,,,,,,1,0,,1155_ammoniadimer09
,,,,,,,,,,,,,,,,,,1,0,,1156_ammoniadimer10
,,,,,,,,,,,,,,,,,,1,0,,1157_ammoniadimer12
,,,,,,,,,,,,,,,,,,1,0,,1158_ammoniadimer15
,,,,,,,,,,,,,,,,,,1,0,,1159_ammoniadimer20
,,,,,,,,,,,,,,,,,,1,0,,1160_waterdimer09
,,,,,,,,,,,,,,,,,,1,0,,1161_waterdimer10
,,,,,,,,,,,,,,,,,,1,0,,1162_waterdimer12
,,,,,,,,,,,,,,,,,,1,0,,1163_waterdimer15
,,,,,,,,,,,,,,,,,,1,0,,1164_waterdimer20
,,,,,,,,,,,,,,,,,,1,0,,1165_formicaciddimer09
,,,,,,,,,,,,,,,,,,1,0,,1166_formicaciddimer10
,,,,,,,,,,,,,,,,,,1,0,,1167_formicaciddimer12
,,,,,,,,,,,,,,,,,,1,0,,1168_formicaciddimer15
,,,,,,,,,,,,,,,,,,1,0,,1169_formicaciddimer20
,,,,,,,,,,,,,,,,,,1,0,,1170_formamidedimer09
,,,,,,,,,,,,,,,,,,1,0,,1171_formamidedimer10
,,,,,,,,,,,,,,,,,,1,0,,1172_formamidedimer12
,,,,,,,,,,,,,,,,,,1,0,,1173_formamidedimer15
,,,,,,,,,,,,,,,,,,1,0,,1174_formamidedimer20
,,,,,,,,,,,,,,,,,,1,0,,1175_uracildimerHB09
,,,,,,,,,,,,,,,,,,1,0,,1176_uracildimerHB10
,,,,,,,,,,,,,,,,,,1,0,,1177_uracildimerHB12
,,,,,,,,,,,,,,,,,,1,0,,1178_uracildimerHB15
,,,,,,,,,,,,,,,,,,1,0,,1179_uracildimerHB20
,,,,,,,,,,,,,,,,,,1,0,,1180_2pyridoxine2aminopyridine09
,,,,,,,,,,,,,,,,,,1,0,,1181_2pyridoxine2aminopyridine10
,,,,,,,,,,,,,,,,,,1,0,,1182_2pyridoxine2aminopyridine12
,,,,,,,,,,,,,,,,,,1,0,,1183_2pyridoxine2aminopyridine15
,,,,,,,,,,,,,,,,,,1,0,,1184_2pyridoxine2aminopyridine20
,,,,,,,,,,,,,,,,,,1,0,,1185_adeninethymineWC09
,,,,,,,,,,,,,,,,,,1,0,,1186_adeninethymineWC10
,,,,,,,,,,,,,,,,,,1,0,,1187_adeninethymineWC12
,,,,,,,,,,,,,,,,,,1,0,,1188_adeninethymineWC15
,,,,,,,,,,,,,,,,,,1,0,,1189_adeninethymineWC20
,,,,,,,,,,,,,,,,,,1,0,,1190_methanedimer09
,,,,,,,,,,,,,,,,,,1,0,,1191_methanedimer10
,,,,,,,,,,,,,,,,,,1,0,,1192_methanedimer12
,,,,,,,,,,,,,,,,,,1,0,,1193_methanedimer15
