
Host: gm-mpc

Timers On : Mon Nov 17 00:11:31 2025
Timers Off: Mon Nov 17 00:12:30 2025

Wall Time:       59.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     38.400u      2.650s      1.677w      7 calls
build grid                          :     16.667u      0.850s      0.658w      7 calls
post-process grid                   :     21.717u      1.800s      1.018w      7 calls
DFH: sparsity prep                  :      0.033u      0.033s      0.044w      7 calls
Libint2ERI::Libint2ERI              :      1.500u      0.117s      0.094w    221 calls
DFH: initialize()                   :      7.867u      0.767s      0.355w      7 calls
DFH: AO Construction                :      0.583u      0.067s      0.025w      7 calls
DFH: AO-Met. Contraction            :      0.650u      0.067s      0.026w      7 calls
HF: Form core H                     :      4.267u      0.383s      0.178w      7 calls
HF: Form S/X                        :      0.200u      0.017s      0.008w      7 calls
HF: Guess                           :     37.550u      5.467s      1.620w      7 calls
SAD Guess                           :     37.167u      5.417s      1.604w      7 calls
HF: Form G                          :    282.917u      1.833s     10.711w     66 calls
RV: Form V                          :    279.017u      1.300s     10.542w     67 calls
Properties                          :     72.681p                         229308 calls
Functional                          :     45.759p                         229308 calls
V_xc                                :     64.663p                         213382 calls
JK: D                               :      0.050u      0.017s      0.001w     67 calls
JK: USO2AO                          :      1.150u      0.050s      0.044w     67 calls
JK: JK                              :      3.450u      0.233s      0.139w     67 calls
DFH: compute_JK()                   :      3.433u      0.233s      0.138w     67 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     67 calls
DFH: compute_J                      :      1.217u      0.117s      0.058w     67 calls
DFH: compute_K                      :      1.617u      0.083s      0.058w     67 calls
JK: AO2USO                          :      1.517u      0.133s      0.065w     67 calls
HF: Form F                          :      0.333u      0.033s      0.015w     66 calls
HF: Form D                          :      0.000u      0.000s      0.001w     66 calls
HF: DIIS                            :     14.800u      1.267s      0.672w     59 calls
HF: Form C                          :      0.733u      0.067s      0.031w     59 calls
Grad: V T Perturb                   :      0.767u      0.033s      0.031w      5 calls
Grad: S                             :      0.550u      0.033s      0.021w      5 calls
Grad: JK                            :     15.183u      1.283s      0.627w      5 calls
JKGrad: Amn                         :      3.683u      0.367s      0.154w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      3.633u      0.250s      0.145w      5 calls
JKGrad: UV                          :      0.233u      0.033s      0.011w      5 calls
JKGrad: ABx                         :      0.417u      0.017s      0.016w      5 calls
JKGrad: Amnx                        :      4.217u      0.317s      0.170w      5 calls
Grad: XC                            :     51.133u      0.150s      1.926w      5 calls
V_xc gradient                       :     10.970p                          15926 calls

--------------------------------------------------------------------------------------
V: Grid                             :     38.400u      2.650s      1.677w      7 calls
| build grid                        :     16.667u      0.850s      0.658w      7 calls
| post-process grid                 :     21.717u      1.800s      1.018w      7 calls
DFH: sparsity prep                  :      0.033u      0.033s      0.044w      7 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.033s      0.029w      7 calls
DFH: initialize()                   :      7.867u      0.767s      0.355w      7 calls
| Libint2ERI::Libint2ERI            :      0.517u      0.033s      0.026w    119 calls
| DFH: AO Construction              :      0.583u      0.067s      0.025w      7 calls
| DFH: AO-Met. Contraction          :      0.650u      0.067s      0.026w      7 calls
HF: Form core H                     :      4.267u      0.383s      0.178w      7 calls
HF: Form S/X                        :      0.200u      0.017s      0.008w      7 calls
HF: Guess                           :     37.550u      5.467s      1.620w      7 calls
| SAD Guess                         :     37.167u      5.417s      1.604w      7 calls
HF: Form G                          :    282.917u      1.833s     10.711w     67 calls
| RV: Form V                        :    279.017u      1.300s     10.542w     67 calls
| | Properties                      :     57.296p                         213382 calls
| | Functional                      :     42.384p                         213382 calls
| | V_xc                            :     64.663p                         213382 calls
| JK: D                             :      0.050u      0.017s      0.001w     67 calls
| JK: USO2AO                        :      1.150u      0.050s      0.044w     67 calls
| JK: JK                            :      3.450u      0.233s      0.139w     67 calls
| | DFH: compute_JK()               :      3.433u      0.233s      0.138w     67 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     67 calls
| | | DFH: compute_J                :      1.217u      0.117s      0.058w     67 calls
| | | DFH: compute_K                :      1.617u      0.083s      0.058w     67 calls
| JK: AO2USO                        :      1.517u      0.133s      0.065w     67 calls
HF: Form F                          :      0.333u      0.033s      0.015w     66 calls
HF: Form D                          :      0.000u      0.000s      0.001w     66 calls
HF: DIIS                            :     14.800u      1.267s      0.672w     59 calls
HF: Form C                          :      0.733u      0.067s      0.031w     59 calls
Grad: V T Perturb                   :      0.767u      0.033s      0.031w      5 calls
Grad: S                             :      0.550u      0.033s      0.021w      5 calls
Grad: JK                            :     15.183u      1.283s      0.627w      5 calls
| JKGrad: Amn                       :      3.683u      0.367s      0.154w      5 calls
| | Libint2ERI::Libint2ERI          :      0.350u      0.033s      0.016w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      3.633u      0.250s      0.145w      5 calls
| | Libint2ERI::Libint2ERI          :      0.117u      0.000s      0.004w     80 calls
| JKGrad: UV                        :      0.233u      0.033s      0.011w      5 calls
| JKGrad: ABx                       :      0.417u      0.017s      0.016w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      4.217u      0.317s      0.170w      5 calls
| | Libint2ERI::Libint2ERI          :      0.483u      0.017s      0.019w      5 calls
Grad: XC                            :     51.133u      0.150s      1.926w      5 calls
| Properties                        :     15.385p                          15926 calls
| Functional                        :      3.375p                          15926 calls
| V_xc gradient                     :     10.970p                          15926 calls

**************************************************************************************

Host: gm-mpc

Timers On : Sun Nov 16 21:29:33 2025
Timers Off: Mon Nov 17 00:12:30 2025

Wall Time:     9777.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     23.133u      1.533s      1.353w     25 calls
build grid                          :      9.650u      0.467s      0.566w     25 calls
post-process grid                   :     13.417u      1.067s      0.784w     25 calls
Total PK formation time             :     13.067u      1.267s      2.178w     25 calls
Libint2ERI::Libint2ERI              :      5.833u      1.400s      1.962w    273 calls
HF: Form core H                     :      6.317u      0.567s      0.356w     25 calls
HF: Form S/X                        :      0.417u      0.017s      0.022w     25 calls
HF: Guess                           :     41.733u      5.167s      2.394w     25 calls
